Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min Salary,Max Salary
Sr Data Scientist,3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,,"EmblemHealth, UnitedHealth Group, Aetna",137000.0,171000.0
Data Scientist,4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,137000.0,171000.0
Data Scientist,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981.0,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,137000.0,171000.0
Data Scientist,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000.0,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",137000.0,171000.0
Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,1998.0,Company - Private,Advertising & Marketing,Business Services,,"Commerce Signals, Cardlytics, Yodlee",137000.0,171000.0
Data Scientist,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,,,137000.0,171000.0
Data Scientist / Machine Learning Expert,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,137000.0,171000.0
Data Scientist,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,137000.0,171000.0
Staff Data Scientist - Analytics,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",137000.0,171000.0
Data Scientist,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,137000.0,171000.0
Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",137000.0,171000.0
Data Scientist,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016.0,Company - Private,IT Services,Information Technology,,"Slalom, Daugherty Business Solutions",137000.0,171000.0
"Data Scientist - Statistics, Early Career",3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",137000.0,171000.0
Data Modeler,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",201 to 500 employees,1973.0,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),,137000.0,171000.0
Data Scientist,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,137000.0,171000.0
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997.0,Company - Private,Federal Agencies,Government,,,137000.0,171000.0
Data Scientist - Contract,4.1,Upside Business Travel,Remote,"Washington, DC",51 to 200 employees,2015.0,Company - Private,Internet,Information Technology,,,137000.0,171000.0
Data Scientist,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945.0,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),,137000.0,171000.0
Data Analyst II,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",137000.0,171000.0
Medical Lab Scientist,3.5,Tower Health,"West Grove, PA","Reading, PA",5001 to 10000 employees,2017.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,,137000.0,171000.0
Data Scientist,3.2,Triplebyte,"New York, NY","San Francisco, CA",51 to 200 employees,2015.0,Company - Private,Computer Hardware & Software,Information Technology,,,137000.0,171000.0
Data Scientist/Machine Learning,4.3,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",137000.0,171000.0
Human Factors Scientist,3.5,Exponent,"Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,1967.0,Company - Public,Consulting,Business Services,$100 to $500 million (USD),,137000.0,171000.0
Business Intelligence Analyst I- Data Insights,3.5,Guardian Life,"Appleton, WI","New York, NY",5001 to 10000 employees,1860.0,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),Northwestern Mutual,137000.0,171000.0
Data Scientist,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,137000.0,171000.0
Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,137000.0,171000.0
Data Scientist - Risk,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,137000.0,171000.0
Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,,137000.0,171000.0
Data Scientist,4.5,Kingfisher Systems,"McLean, VA","Falls Church, VA",51 to 200 employees,2005.0,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),,137000.0,171000.0
Data Scientist,2.8,Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,137000.0,171000.0
Data Scientist,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981.0,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,75000.0,131000.0
Data Scientist / Machine Learning Expert,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,75000.0,131000.0
Data Scientist,5.0,Cohere Health,"Boston, MA","Boston, MA",1 to 50 employees,2019.0,Company - Private,IT Services,Information Technology,,,75000.0,131000.0
Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,75000.0,131000.0
Data Engineer,3.6,Chef,United States,"Seattle, WA",201 to 500 employees,2008.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Puppet, Ansible, SaltStack",75000.0,131000.0
Associate Data Scientist,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999.0,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),,75000.0,131000.0
Business Intelligence Analyst,2.7,Sandhills Global,"Lincoln, NE","Lincoln, NE",1001 to 5000 employees,1978.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),,75000.0,131000.0
Data Scientist,2.7,A Place for Mom,"Overland Park, KS","New York, NY",501 to 1000 employees,2000.0,Company - Private,Health Care Services & Hospitals,Health Care,,"Enlivant, Sunrise Senior Living, Brookdale Senior Living",75000.0,131000.0
Data Scientist,2.2,Great-Circle Technologies,"Chantilly, VA","Chantilly, VA",1 to 50 employees,2000.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),,75000.0,131000.0
Senior Analyst/Data Scientist,3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book",75000.0,131000.0
Data Analyst,3.1,"Cambridge Associates, LLC","Boston, MA","Boston, MA",501 to 1000 employees,1973.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,75000.0,131000.0
Machine Learning Engineer,3.4,Liberty Mutual Insurance,"Portsmouth, NH","Boston, MA",10000+ employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",75000.0,131000.0
Data Analyst I,2.6,Cenlar,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1958.0,Company - Private,-1,-1,$100 to $500 million (USD),,75000.0,131000.0
Scientist - Molecular Biology,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,75000.0,131000.0
Data Scientist,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,75000.0,131000.0
"Computational Scientist, Machine Learning",4.1,Pfizer,"Cambridge, MA","New York, NY",10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,75000.0,131000.0
Senior Data Scientist,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,,75000.0,131000.0
Data Scientist,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000.0,Company - Private,Investment Banking & Asset Management,Finance,,,75000.0,131000.0
Data Scientist,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016.0,Government,Federal Agencies,Government,,,75000.0,131000.0
Data Scientist,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,75000.0,131000.0
Data Analyst,4.8,Giving Assistant,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2014.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,75000.0,131000.0
Data Scientist,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",75000.0,131000.0
Data Scientist,4.0,Netskope,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,"Skyhigh Networks, Zscaler, NortonLifeLock",75000.0,131000.0
Jr. Data Engineer,4.8,IT Concepts,Remote,"Vienna, VA",51 to 200 employees,2003.0,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),,75000.0,131000.0
E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,75000.0,131000.0
Data Analytics Engineer,3.7,Summa Health System,"Akron, OH","Akron, OH",5001 to 10000 employees,1926.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),,75000.0,131000.0
Senior Data Scientist,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),,75000.0,131000.0
Product Data Scientist - Ads Data Science,4.1,Twitter,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006.0,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",75000.0,131000.0
Data Scientist,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011.0,Company - Private,Express Delivery Services,Transportation & Logistics,,"DoorDash, Uber, Grubhub",75000.0,131000.0
Data Scientist - Intermediate,4.5,Envision LLC,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994.0,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),,75000.0,131000.0
Data Analyst,3.8,Swiss Re,"Fort Wayne, IN","Zurich, Switzerland",10000+ employees,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",75000.0,131000.0
Machine Learning Engineer,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,2010.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),,75000.0,131000.0
