Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1102, gadget y ,ELECTRONICS,Warehouse 2,Aisle 1,300,9.99,Supplier C,In Stock,NaN
1435, gadget y ,ELECTRONICS,Warehouse 2,Aisle 4,two hundred,19.99,Supplier C,Out of Stock,NaN
1860, widget a ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Supplier B,In Stock,20/12/2022
1270, gadget z ,TOYS,Warehouse 2,Aisle 4,50,49.99,Supplier B,In Stock,20/12/2022
1106, widget a ,FURNITURE,Warehouse 3,Aisle 3,two hundred,9.99,Supplier D,Out of Stock,25/04/2023
1071, widget b ,CLOTHING,Warehouse 3,Aisle 5,300,NaN,Supplier A,In Stock,20/12/2022
1700, widget a ,CLOTHING,Warehouse 2,Aisle 2,two hundred,49.99,Supplier B,In Stock,20/12/2022
1020, widget c ,CLOTHING,Warehouse 1,Aisle 5,two hundred,9.99,Supplier D,Out of Stock,20/12/2022
1614, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,300,9.99,Supplier B,Out of Stock,05/03/2023
1121, widget b ,TOYS,Warehouse 1,Aisle 2,50,19.99,Supplier C,Out of Stock,20/12/2022
1466, widget a ,CLOTHING,Warehouse 3,Aisle 1,NaN,49.99,Supplier B,In Stock,15/01/2023
1214, gadget z ,FURNITURE,Warehouse 2,Aisle 1,50,9.99,Supplier A,Low Stock,15/01/2023
1330, widget c ,TOYS,Warehouse 3,Aisle 4,150,9.99,Supplier B,In Stock,25/04/2023
1458, widget c ,FURNITURE,Warehouse 2,Aisle 3,300,49.99,Supplier A,Low Stock,05/03/2023
1087, widget a ,TOYS,Warehouse 3,Aisle 3,50,NaN,Supplier C,Out of Stock,15/01/2023
1372, gadget y ,FURNITURE,Warehouse 2,Aisle 1,two hundred,49.99,Supplier A,Low Stock,05/03/2023
1099, widget a ,ELECTRONICS,Warehouse 2,Aisle 5,300,49.99,Supplier B,Out of Stock,05/03/2023
1871, widget b ,CLOTHING,Warehouse 2,Aisle 2,100,NaN,Supplier D,Out of Stock,25/04/2023
1663, widget a ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,Supplier C,Low Stock,05/03/2023
1130, widget c ,TOYS,Warehouse 1,Aisle 5,300,9.99,Supplier B,Out of Stock,20/12/2022
1661, widget a ,CLOTHING,Warehouse 2,Aisle 1,50,49.99,Supplier C,Low Stock,05/03/2023
1308, gadget y ,CLOTHING,Warehouse 1,Aisle 1,300,NaN,Supplier C,Out of Stock,25/04/2023
1769, gadget z ,TOYS,Warehouse 1,Aisle 1,two hundred,29.99,Supplier B,In Stock,25/04/2023
1343, gadget x ,FURNITURE,Warehouse 2,Aisle 4,100,49.99,Supplier B,In Stock,25/04/2023
1491, widget a ,ELECTRONICS,Warehouse 1,Aisle 5,100,19.99,Supplier D,Out of Stock,15/01/2023
1413, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,150,9.99,Supplier C,Out of Stock,20/12/2022
1805, gadget y ,FURNITURE,Warehouse 2,Aisle 2,300,9.99,Supplier C,Low Stock,15/01/2023
1385, gadget z ,CLOTHING,Warehouse 1,Aisle 4,50,19.99,Supplier B,In Stock,NaN
1191, widget c ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Supplier A,Low Stock,20/12/2022
1955, gadget y ,CLOTHING,Warehouse 2,Aisle 5,100,49.99,Supplier B,Out of Stock,05/03/2023
1276, gadget y ,CLOTHING,Warehouse 2,Aisle 1,NaN,19.99,Supplier C,Out of Stock,25/04/2023
1160, gadget y ,FURNITURE,Warehouse 1,Aisle 5,NaN,29.99,Supplier B,Low Stock,NaN
1459, gadget y ,CLOTHING,Warehouse 3,Aisle 2,100,NaN,Supplier D,Out of Stock,20/12/2022
1313, widget b ,TOYS,Warehouse 3,Aisle 4,300,19.99,Supplier A,In Stock,15/01/2023
1021, widget b ,CLOTHING,Warehouse 1,Aisle 4,150,19.99,Supplier B,Low Stock,25/04/2023
1252, widget c ,ELECTRONICS,Warehouse 2,Aisle 2,100,29.99,Supplier D,In Stock,15/01/2023
1747, widget a ,CLOTHING,Warehouse 1,Aisle 3,two hundred,9.99,Supplier C,In Stock,20/12/2022
1856, gadget y ,FURNITURE,Warehouse 1,Aisle 3,50,9.99,Supplier B,In Stock,20/12/2022
1560, gadget z ,ELECTRONICS,Warehouse 1,Aisle 4,150,49.99,Supplier C,Low Stock,NaN
1474, widget a ,FURNITURE,Warehouse 2,Aisle 4,two hundred,29.99,Supplier D,Out of Stock,05/03/2023
1058, gadget z ,FURNITURE,Warehouse 1,Aisle 1,150,NaN,Supplier C,In Stock,15/01/2023
1510, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,NaN,Supplier D,In Stock,NaN
1681, widget c ,FURNITURE,Warehouse 1,Aisle 2,50,29.99,Supplier D,In Stock,25/04/2023
1475, gadget y ,FURNITURE,Warehouse 3,Aisle 3,50,NaN,Supplier D,Out of Stock,05/03/2023
1699, gadget y ,CLOTHING,Warehouse 1,Aisle 1,NaN,9.99,Supplier B,Out of Stock,NaN
1975, gadget x ,TOYS,Warehouse 1,Aisle 4,300,NaN,Supplier C,Low Stock,15/01/2023
1782, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,NaN,Supplier C,Out of Stock,20/12/2022
1189, widget a ,FURNITURE,Warehouse 2,Aisle 1,NaN,29.99,Supplier A,Low Stock,25/04/2023
1957, widget a ,FURNITURE,Warehouse 2,Aisle 2,two hundred,29.99,Supplier A,Low Stock,15/01/2023
1686, widget b ,CLOTHING,Warehouse 1,Aisle 4,NaN,NaN,Supplier A,Low Stock,05/03/2023
1957, gadget x ,TOYS,Warehouse 3,Aisle 5,50,19.99,Supplier A,Low Stock,05/03/2023
1562, widget b ,ELECTRONICS,Warehouse 2,Aisle 4,150,29.99,Supplier C,Low Stock,20/12/2022
1875, widget b ,CLOTHING,Warehouse 1,Aisle 5,NaN,49.99,Supplier D,In Stock,20/12/2022
1566, widget b ,CLOTHING,Warehouse 3,Aisle 1,two hundred,49.99,Supplier D,Out of Stock,25/04/2023
1243, gadget z ,TOYS,Warehouse 2,Aisle 1,two hundred,9.99,Supplier B,In Stock,25/04/2023
1831, gadget z ,TOYS,Warehouse 2,Aisle 4,300,NaN,Supplier D,Low Stock,20/12/2022
1504, widget c ,CLOTHING,Warehouse 3,Aisle 3,50,19.99,Supplier C,Out of Stock,20/12/2022
1130, widget c ,ELECTRONICS,Warehouse 3,Aisle 5,two hundred,9.99,Supplier C,In Stock,05/03/2023
1484, widget b ,CLOTHING,Warehouse 3,Aisle 2,100,NaN,Supplier C,In Stock,20/12/2022
